#edge,stdev,outlier_subtype,outlier_distance
hsa:472==>hsa:7157,0.18058010362773658,Hypo,-0.7676768762860051
hsa:8837==>hsa:8772|hsa:8717,0.10997881221974216,Ph,-0.44574843577573225
hsa:8837==>hsa:8772,0.09618124985480615,T-ALL,-0.17838001759290706
hsa:823|hsa:824==>hsa:100506742,0.0904085232626361,Hypo,-0.2908001153880463
hsa:637==>hsa:54205,0.3381245393105826,ETV6_RUNX1,-14.618743813617584
hsa:11213|hsa:3654|hsa:3656|hsa:51135==>hsa:9020,0.06751941498319923,Hypo,-0.1917237326684152
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:10000|hsa:207|hsa:208,0.12854687163133954,ETV6_RUNX1,0.3147045434896859
hsa:596==>hsa:7157,0.3068944044534814,Hypo,-5.379732153513516
hsa:112401|hsa:329|hsa:330|hsa:331|hsa:79444==>hsa:842,0.3455134755224934,Ph,16.105402533101465
hsa:112401|hsa:329|hsa:330|hsa:331|hsa:79444==>hsa:840,0.08184713061106852,T-ALL,-0.1903779851277684
hsa:112401|hsa:329|hsa:330|hsa:331|hsa:79444==>hsa:836,0.00206759892884555,ETV6_RUNX1,-9.471678469088362
hsa:112401|hsa:329|hsa:330|hsa:331|hsa:79444==>hsa:839,0.14025163975963098,Ph,0.3289870829417018
hsa:4790|hsa:5970==>hsa:4792,0.09828459715166617,ETV6_RUNX1,-0.3372825426492371
hsa:4790|hsa:5970==>hsa:596,0.15027933459910922,Hyperdiploid,-0.5710409064928001
hsa:4790|hsa:5970==>hsa:598,0.14074330854909917,MLL,0.4226520127776108
hsa:4790|hsa:5970==>hsa:112401|hsa:329|hsa:330|hsa:331|hsa:79444,0.08703113990488036,T-ALL,-0.29461282690708934
hsa:100506742==>hsa:836,0.11094799095825694,T-ALL,-0.39005421236032
hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535==>hsa:572,0.05851843074116189,Hyperdiploid,-0.18714042578652984
hsa:5566|hsa:5567|hsa:5568|hsa:5573|hsa:5575|hsa:5576|hsa:5577|hsa:5613==>hsa:572,0.07680829786964852,TCF3-PBX1,0.19481208095558414
hsa:10000|hsa:207|hsa:208==>hsa:572,0.12264219827778758,ETV6_RUNX1,-0.37487045807756125
hsa:10000|hsa:207|hsa:208==>hsa:1147|hsa:3551|hsa:8517,0.16512931171388695,Hyperdiploid,-0.5402441912654614
hsa:1147|hsa:3551|hsa:8517==>hsa:4792,0.17082871092150184,ETV6_RUNX1,-0.6674966852315641
hsa:1676==>hsa:1677,0.06179573499614909,Hyperdiploid,-0.12661029800239368
hsa:317==>hsa:842,0.06781933465450388,Ph,-0.14939179475524206
hsa:54205==>hsa:842,0.4080395961677929,MLL,-15.561748232745565
hsa:842==>hsa:836,0.05671002028796344,MLL,-0.11083337716506275
hsa:842==>hsa:840,0.32241496836340505,ETV6_RUNX1,-15.901731484264578
hsa:7186==>hsa:9020,0.2214676378457575,T-ALL,-1.3947565529746817
hsa:9020==>hsa:1147|hsa:3551|hsa:8517,0.05011224363285252,TCF3-PBX1,-0.07402598683293234
hsa:8737==>hsa:9020,0.11536689380584085,ETV6_RUNX1,-0.25305200674423417
hsa:840==>hsa:1676,0.03204579945219984,Hyperdiploid,-0.09604301472816193
hsa:836==>hsa:1676,0.06812455304687684,T-ALL,-0.17185114749882083
hsa:836==>hsa:839,0.08835061055608304,T-ALL,-0.2074536253381608
hsa:841==>hsa:637,0.441348870706967,T-ALL,-6.56312840120485
hsa:841==>hsa:840,0.3941858147464927,Hypo,-15.424709341809413
hsa:841==>hsa:836,0.40947231747400636,MLL,-15.23958304573535
hsa:843==>hsa:836,0.3353998206966529,Hyperdiploid,-16.07208514994325
hsa:8772==>hsa:841,0.11920316536031401,T-ALL,-0.32558784597581203
hsa:8772==>hsa:843,0.03658842890804664,T-ALL,-0.07690532201011978
hsa:1439|hsa:3563==>hsa:581,0.07519163642836557,Hypo,0.22051152140012392
