#edge,stdev,outlier_subtype,outlier_distance
hsa:3075==>hsa:718|hsa:629,0.0686836799247099,T-ALL,1.8356859563272618
hsa:4179==>hsa:718,0.08145792785536468,TCF3-PBX1,-1.5772988999687434
hsa:1604==>hsa:718,0.16381528496524647,Ph,2.201828521332353
hsa:3426==>hsa:718,0.1010965290542476,MLL,-1.5721278282598858
hsa:966==>hsa:735,0.22459459450442104,TCF3-PBX1,2.2283202515966245
hsa:966==>hsa:731|hsa:732|hsa:733,0.0,,0.0
hsa:722|hsa:725==>hsa:720|hsa:721,0.09492260222294532,T-ALL,-2.0107943615476978
hsa:710==>hsa:715,0.16468889908440293,Hypo,-2.194152137812319
hsa:10747|hsa:5648==>hsa:720|hsa:721,0.10314385742372104,Ph,1.9988958963048973
hsa:4153==>hsa:10747|hsa:5648,0.09735955550348785,Ph,-2.8330158785162647
hsa:1675==>hsa:718|hsa:629,0.09874252616553299,Hypo,-1.79559686069576
hsa:731|hsa:732|hsa:733==>hsa:735,0.1572502774324148,Hypo,1.5634937969441887
hsa:730==>hsa:731|hsa:732|hsa:733,0.032258189296578296,Hyperdiploid,-1.7458615800021762
hsa:729==>hsa:730,0.12875898277758477,ETV6_RUNX1,-2.8556583683315404
hsa:727==>hsa:728,0.17570172857337935,MLL,-1.738730759682954
hsa:727==>hsa:729,0.19443595050739532,Ph,-2.817279067496824
hsa:718==>hsa:1378,0.1038263006644919,T-ALL,-2.062662979380405
hsa:718==>hsa:1380,0.2588076964146979,TCF3-PBX1,2.2258442902342455
hsa:718==>hsa:719,0.2167582775263821,Ph,-2.6285370651984463
hsa:718==>hsa:727,0.07472941490225019,T-ALL,-2.0824330045077617
hsa:720|hsa:721|hsa:717==>hsa:718,0.0556194606072811,Hypo,-1.7056410166069496
hsa:716|hsa:715|hsa:712|hsa:713|hsa:714==>hsa:720|hsa:721,0.1373539460002396,Hypo,-2.0490286217636267
hsa:5265==>hsa:5340,0.08386555025218663,MLL,-2.5409082278227912
hsa:2==>hsa:2147,0.19677924447451056,MLL,1.5026423854962758
hsa:2==>hsa:5627|hsa:5624,0.2180025003774414,MLL,1.9479761283995358
hsa:2==>hsa:5340,0.21751635817284068,MLL,1.7550909881299543
hsa:5104==>hsa:5627|hsa:5624,0.12478856225730346,T-ALL,-2.4519301112103777
hsa:5104==>hsa:2147,0.07087621587741576,Ph,-2.250849099260396
hsa:462==>hsa:2147,0.4034179832193434,Hypo,-1.6969935942620313
hsa:462==>hsa:2159,0.3540948569180817,Hypo,-1.8766567404669552
hsa:462==>hsa:2158,0.33211569263128654,Hypo,-2.7720375371986843
hsa:462==>hsa:2160,0.020095686078847676,Ph,-2.526976841402035
hsa:5328==>hsa:5340,0.04048201712476535,Hyperdiploid,-2.857738033247047
hsa:5328==>hsa:5329,0.1156498461922268,Hypo,-2.201083774697743
hsa:5340==>hsa:718,0.08660599916040129,Ph,-1.940560334110323
hsa:5345==>hsa:5340,0.052139965082223745,Hyperdiploid,-1.7143407465982563
hsa:5327==>hsa:5340,0.014837570716782133,Hypo,-2.7243678073445867
hsa:3053==>hsa:2147,0.2375585768116477,Ph,1.7542915334537672
hsa:7035==>hsa:2153|hsa:2159,0.27918628135957496,ETV6_RUNX1,-2.4183673951028264
hsa:7035==>hsa:2152|hsa:2155,0.12794923854260587,ETV6_RUNX1,-2.8414523666399476
hsa:5627|hsa:5624==>hsa:2147,0.004717918965474346,MLL,2.779362913174076
hsa:5627|hsa:5624==>hsa:2157,0.11651239678231316,Ph,-2.398886365046683
hsa:5627|hsa:5624==>hsa:2153,0.15314915519165742,Ph,-2.504269989954377
hsa:5054==>hsa:5328,0.07070340924897874,Hyperdiploid,-2.6622148587465095
hsa:5054==>hsa:5327,0.06267967863995606,ETV6_RUNX1,-2.7871180972409166
hsa:5624==>hsa:5054,0.0,,0.0
hsa:7056==>hsa:5624,0.0,,0.0
hsa:2152|hsa:2155==>hsa:2159,0.09905297310375835,ETV6_RUNX1,-2.6350933763484345
hsa:2147==>hsa:2160,0.2718216640658927,MLL,-2.771892137157566
hsa:2147==>hsa:2158,0.07772949230504468,ETV6_RUNX1,-1.8953616655802923
hsa:2147==>hsa:7056,0.02457992971461699,ETV6_RUNX1,-2.8577380332470406
hsa:2147==>hsa:2149,0.15702772950452712,T-ALL,-2.158113523872206
hsa:2159==>hsa:2147,0.046596621239952486,ETV6_RUNX1,-2.69206214231785
hsa:2158==>hsa:2159,0.21906585815452756,MLL,-2.65942323573936
hsa:2160==>hsa:2158,0.016531421401410725,Hyperdiploid,-2.5574227591661076
