#edge,stdev,outlier_subtype,outlier_distance
hsa:1032==>hsa:1019|hsa:1021|hsa:595|hsa:894|hsa:896,0.15370311760092864,Hypo,-2.3839627049815033
hsa:1031==>hsa:1019|hsa:1021|hsa:595|hsa:894|hsa:896,0.17965239306505215,MLL,-2.4688779579614475
hsa:3065|hsa:3066==>hsa:5925,0.12187249967277192,ETV6_RUNX1,-1.7664034181461523
hsa:25==>hsa:5925,0.13209830043554377,MLL,1.8156289612297378
hsa:7040|hsa:7042|hsa:7043==>hsa:4087|hsa:4088,0.0592055740977562,T-ALL,-2.464362557469562
hsa:7709==>hsa:1030,0.0,,0.0
hsa:5933|hsa:1874|hsa:1875|hsa:7027|hsa:7029==>hsa:4609,0.0001508185827342071,Hypo,-2.8577380332470415
hsa:4609==>hsa:7709,0.0,,0.0
hsa:7027|hsa:7029|hsa:1869|hsa:1870|hsa:1871==>hsa:898|hsa:9134,0.056896201823305986,ETV6_RUNX1,-2.3406190407385488
hsa:5933|hsa:5934==>hsa:7027|hsa:7029|hsa:1874|hsa:1875,0.044925631613108516,ETV6_RUNX1,1.8937222162913967
hsa:701|hsa:10459|hsa:4085|hsa:9184==>hsa:10393|hsa:246184|hsa:25847|hsa:29882|hsa:29945|hsa:51433|hsa:51434|hsa:51529|hsa:64682|hsa:8697|hsa:8881|hsa:996,0.025654417923227035,TCF3-PBX1,-1.6448239101069473
hsa:699==>hsa:9184,0.09174193238934207,Ph,-2.199343252807267
hsa:8379==>hsa:10459|hsa:4085,0.04016899417080141,TCF3-PBX1,1.9607909440075613
hsa:7272==>hsa:8379,0.0132578313645104,T-ALL,-2.279218913651948
hsa:472|hsa:545==>hsa:1111|hsa:11200,0.05856625031883261,Hypo,1.7069216392679685
hsa:472|hsa:545==>hsa:7157,0.061928458530462256,MLL,2.0096145824801352
hsa:1029==>hsa:1019|hsa:1021|hsa:595|hsa:894|hsa:896,0.14924887055122504,Ph,-2.239410581571443
hsa:1029==>hsa:4193,0.1472205374283557,TCF3-PBX1,-1.7693047760184994
hsa:8555|hsa:8556==>hsa:51343|hsa:10393|hsa:246184|hsa:25847|hsa:29882|hsa:29945|hsa:51433|hsa:51434|hsa:51529|hsa:64682|hsa:8697|hsa:8881|hsa:996,0.12310005900129557,T-ALL,1.844499522113228
hsa:51343|hsa:10393|hsa:246184|hsa:25847|hsa:29882|hsa:29945|hsa:51433|hsa:51434|hsa:51529|hsa:64682|hsa:8697|hsa:8881|hsa:996==>hsa:983|hsa:85417|hsa:891|hsa:9133,0.0678009477069398,Hyperdiploid,-1.5026805688180422
hsa:10393|hsa:246184|hsa:25847|hsa:29882|hsa:29945|hsa:51433|hsa:51434|hsa:51529|hsa:64682|hsa:8697|hsa:8881|hsa:996|hsa:991==>hsa:51343|hsa:10393|hsa:246184|hsa:25847|hsa:29882|hsa:29945|hsa:51433|hsa:51434|hsa:51529|hsa:64682|hsa:8697|hsa:8881|hsa:996,0.03140429812712175,Ph,-1.726727546884252
hsa:10393|hsa:246184|hsa:25847|hsa:29882|hsa:29945|hsa:51433|hsa:51434|hsa:51529|hsa:64682|hsa:8697|hsa:8881|hsa:996|hsa:991==>hsa:10744|hsa:9232,0.01931668805854202,Hyperdiploid,-1.698186212559733
hsa:6502|hsa:6500|hsa:8454|hsa:9978==>hsa:1026,0.3765937946976887,TCF3-PBX1,1.7450726554347198
hsa:6502|hsa:6500|hsa:8454|hsa:9978==>hsa:1027|hsa:1028,0.38644066350632855,T-ALL,-1.5782403119783108
hsa:6502|hsa:6500|hsa:8454|hsa:9978==>hsa:1017|hsa:898|hsa:9134,0.15237005044205468,Hypo,-1.75888896290626
hsa:1019|hsa:1021|hsa:595|hsa:894|hsa:896==>hsa:5925,0.10340543842406678,Ph,-2.2255131855144836
hsa:1019|hsa:1021|hsa:595|hsa:894|hsa:896==>hsa:5933|hsa:5934,0.030991270801926932,ETV6_RUNX1,-2.6856056941091433
hsa:983|hsa:85417|hsa:891|hsa:9133==>hsa:5347,0.09849324573900528,T-ALL,-2.053477526800299
hsa:10926|hsa:8317==>hsa:4176|hsa:4175|hsa:4174|hsa:4173|hsa:4172|hsa:4171,0.046309547329214246,Ph,-1.8710396667025702
hsa:8318==>hsa:4176|hsa:4175|hsa:4174|hsa:4173|hsa:4172|hsa:4171,0.14008864065283516,Ph,-2.6047210654117263
hsa:23595|hsa:5001|hsa:5000|hsa:4999|hsa:4998|hsa:23594==>hsa:4176|hsa:4175|hsa:4174|hsa:4173|hsa:4172|hsa:4171,0.04754793966351114,Ph,-2.521567373514238
hsa:5347==>hsa:9088,0.02196685178599234,Hypo,-2.8222599792929817
hsa:5347==>hsa:994|hsa:995,0.0052302065983309215,Hypo,-1.9408092476830063
