#node,stdev,outlier_subtype,outlier_distance
1,0.11875896028132799,Ph,2.1659320081953894
2,0.11875896028132799,Ph,2.1659320081953894
3,0.2789708627682711,TCF3-PBX1,2.055135176642329
4,0.2789708627682711,TCF3-PBX1,2.055135176642329
5,0.1274042663598589,MLL,1.9023093987195892
6,0.1274042663598589,MLL,1.9023093987195892
7,0.18308315440057643,TCF3-PBX1,-1.6786070115126834
8,0.18308315440057643,TCF3-PBX1,-1.6786070115126834
9,0.18393801818913602,ETV6_RUNX1,-2.1545554886818596
10,0.18393801818913602,ETV6_RUNX1,-2.1545554886818596
11,0.4313909271384688,Hyperdiploid,-2.362515688713589
12,0.4313909271384688,Hyperdiploid,-2.362515688713589
13,0.4342074359064915,TCF3-PBX1,2.2648092102498665
14,0.14565149453151968,T-ALL,-1.6775385709971198
15,0.08024446505777316,ETV6_RUNX1,-1.8505139250799376
16,0.10933042651708696,TCF3-PBX1,-2.1077054272473608
17,1.3946856002021761,Hyperdiploid,-1.922690186431942
18,1.1716331399243798,Hyperdiploid,2.831985587980912
19,0.8270997411998126,Ph,1.7584067888719708
20,0.35484012814592714,Ph,-2.691342337716833
21,0.14817640648805827,ETV6_RUNX1,-2.612560545288509
22,0.39599012482662255,ETV6_RUNX1,-2.2162467655413898
23,0.197116156290588,TCF3-PBX1,1.5852683305134059
24,0.11444527241918755,T-ALL,-1.9264360627537513
25,0.0007497927060467184,Hyperdiploid,2.8576787282500535
26,0.10004548669031522,T-ALL,-1.9690859946182566
27,0.5874922237587316,T-ALL,-2.2112213248065586
28,0.4377603825045041,TCF3-PBX1,2.173448545579329
29,0.5959018284647503,ETV6_RUNX1,-2.02855729292582
30,0.6633621691559334,ETV6_RUNX1,-2.160055346272205
31,0.3736777344472542,Hyperdiploid,-2.0616628420196763
32,0.26979596931279115,Ph,1.8591054860614147
33,0.07680829786964824,TCF3-PBX1,2.0286002639684217
34,0.05851843074116191,Hyperdiploid,-2.087917688823544
35,0.26245762182423404,T-ALL,-2.002393108954123
36,0.5271029534159777,Hypo,-1.6245578549387365
37,0.2425904943825613,T-ALL,-2.3159494965509255
38,0.14074330854909917,MLL,2.158823770254084
39,0.27212007972268903,Hypo,-2.5120432519960203
40,0.4377603825045041,TCF3-PBX1,2.173448545579329
41,0.3736777344472542,Hyperdiploid,-2.0616628420196763
42,0.12008257915505735,ETV6_RUNX1,-2.4923404275004035
43,0.0007497927060467184,Hyperdiploid,2.8576787282500535
44,0.42073242162462426,Hypo,-2.4140630112239063
45,0.26245762182423404,T-ALL,-2.002393108954123
46,0.13833685036260185,Hyperdiploid,-2.3950728418702276
47,0.19851240285304542,TCF3-PBX1,2.288361634526947
48,0.18058010362773658,Hypo,-1.8390573490381885
