#node,stdev,outlier_subtype,outlier_distance
1,0.11131852656595984,Hypo,-1.671425883960295
2,0.11131852656595984,Hypo,-1.671425883960295
3,0.09813549753773962,T-ALL,-1.879815880035896
4,0.09813549753773962,T-ALL,-1.879815880035896
5,0.59051211401986,Ph,2.8577367451091984
6,0.59051211401986,Ph,2.8577367451091984
7,0.59051211401986,Ph,2.8577367451091984
8,0.5148628206926896,TCF3-PBX1,2.112069059230818
9,0.44647898694801125,Hypo,2.4912624464963917
10,0.44647898694801125,Hypo,2.4912624464963917
11,0.44647898694801125,Hypo,2.4912624464963917
12,0.07665122956400287,ETV6_RUNX1,-2.3906226646196176
13,0.07665122956400287,ETV6_RUNX1,-2.3906226646196176
14,0.14720567212937508,Hypo,2.3779450542663283
15,0.14720567212937508,Hypo,2.3779450542663283
16,0.17789910098463865,Hypo,2.276021432517681
17,0.17789910098463865,Hypo,2.276021432517681
18,0.07938726270939057,Ph,2.857738033247041
19,0.07938726270939057,Ph,2.857738033247041
20,0.5912942798302722,MLL,-1.6235350700087252
21,0.5912942798302722,MLL,-1.6235350700087252
22,1.4796090882692732,TCF3-PBX1,2.0821997452518937
23,0.998201989351916,TCF3-PBX1,2.226475393131214
24,0.12632298217405624,Ph,-2.3988627784488403
25,0.12632298217405624,Ph,-2.3988627784488403
26,0.12632298217405624,Ph,-2.3988627784488403
27,0.5279811272289565,TCF3-PBX1,2.3614079538730826
28,0.8167515895669394,TCF3-PBX1,2.214841317451034
29,0.33266118079118845,T-ALL,-1.7245549920659577
30,0.0009699979381421769,TCF3-PBX1,2.8577380332470415
31,0.20542127084861786,Hypo,-1.7041865490387784
32,0.20542127084861786,Hypo,-1.7041865490387784
33,0.0,,0.0
34,0.0,,0.0
35,0.0,,0.0
36,1.1750741904867872,T-ALL,-1.585980526524287
37,1.1750741904867872,T-ALL,-1.585980526524287
38,2.397865088348762,MLL,1.599648051637494
39,0.11131852656595984,Hypo,-1.671425883960295
40,0.14322444466113232,Hypo,-1.947954256878184
41,0.6705263687448869,Hypo,-1.8207049320847108
42,0.5605969066852415,TCF3-PBX1,2.209084314531657
43,0.6143697520739014,TCF3-PBX1,2.300168308356671
44,1.3202607241140372,Hypo,1.7799412321206176
45,2.397865088348762,MLL,1.599648051637494
46,0.1685048742183648,Hypo,-2.220630125601543
47,0.07859132335606231,MLL,-1.8334869615801095
48,0.07859132335606231,MLL,-1.8334869615801095
49,0.21466671584974295,Hypo,2.3085592536861217
50,0.31899670150754506,MLL,2.153418818293807
51,0.4036789988887666,T-ALL,-2.2220770359681317
52,0.40584675500785783,Hypo,-1.8491667706417978
53,0.19109973820825943,Hyperdiploid,-1.861511358773585
54,0.367613256509543,Hypo,1.9069587968330932
55,0.5076672228187374,Hypo,1.9250858752977749
56,0.29192294711433414,MLL,2.410724611716479
57,0.42806161331949466,Ph,-2.210728792041947
58,0.11328697114813485,TCF3-PBX1,2.55072874139676
59,0.35737231505229483,Hypo,1.9798278626119428
60,0.23913891909242604,Hypo,2.537732749524198
61,0.16227172373786242,Hypo,2.0918894073520957
62,0.598848758953309,Ph,1.937185556991553
63,0.07584445439536508,T-ALL,-2.237739964242376
64,0.06668016295017,TCF3-PBX1,1.7304821738297687
65,0.19779342192421315,Ph,2.540826830560091
66,0.13206379310108013,Ph,1.62089594460479
67,0.0879844653519319,Hypo,-2.34445742789075
68,0.05057791045909432,ETV6_RUNX1,1.4552532122930393
69,0.20939222565280863,Hypo,-2.8108803856735043
70,0.07665122956400287,ETV6_RUNX1,-2.3906226646196176
71,0.11792822001401305,Hypo,1.8179660472660806
72,0.6705263687448869,Hypo,-1.8207049320847108
