#node,stdev,outlier_subtype,outlier_distance
1,2.3131256602818953,Ph,-1.7255975908287788
2,0.008442820525736383,Hyperdiploid,1.465227166950932
3,1.5549927241352064,T-ALL,-2.206063548351621
4,0.007790058229197307,Hyperdiploid,1.6699383090499695
5,6.023692266824091,T-ALL,-2.078070796202836
6,0.25027777695847353,Ph,-2.1864226486668628
7,0.6161081604896239,MLL,2.161792093358309
8,1.898346020785533,T-ALL,-1.7119501385677516
9,0.5220935702596711,Ph,-1.756163809635325
10,0.24201844500536804,Hyperdiploid,-1.801974225519575
11,0.4528882512120604,Ph,-2.339716248244734
12,0.7211893188887435,MLL,-2.766654556218973
13,0.40316982992793804,Hypo,2.729382884453477
14,0.6883554708234212,MLL,2.852259697040042
15,0.22710439891470213,TCF3-PBX1,1.7790004740730634
16,0.22710439891470213,TCF3-PBX1,1.7790004740730634
17,1.0322115237363865,TCF3-PBX1,1.7217111923923838
18,0.18801548366915666,TCF3-PBX1,2.000735042272351
19,0.41919675227233516,T-ALL,-2.015692699795511
20,0.3747155003591228,Hypo,1.7995674923697251
21,0.8298637733735318,Ph,2.72158335596695
22,0.2815271890217529,TCF3-PBX1,-2.189517356417885
23,0.6625137283826112,MLL,2.044262292707051
24,1.4721977511178042,TCF3-PBX1,2.4694210162366685
25,0.016137539818316646,TCF3-PBX1,2.0645650065063887
26,0.23865028392719462,Hypo,1.8621885799595819
27,0.0,,0.0
28,0.33793807935013354,TCF3-PBX1,2.2984195847170152
29,0.2293364450673343,MLL,1.6820062472847552
30,0.8090329969952665,Hyperdiploid,1.9454303337179482
31,0.7882120905451034,Hypo,-1.9726336586954796
32,0.5166219735676943,T-ALL,-1.8205732910882935
33,0.5489380460982861,Hypo,-2.50939702538556
34,0.35302584905594864,T-ALL,-1.6805332194602083
35,0.6025407424340528,TCF3-PBX1,2.140939595424159
36,0.41645684520022286,T-ALL,-2.5138182872945922
37,0.2935391831906686,Hypo,2.25958703749101
38,0.7246729909141145,TCF3-PBX1,2.3045042673570864
39,0.4699029729092801,T-ALL,-1.9622118178100534
40,0.3357295306973232,Ph,-1.9879737674959361
41,0.3472537879630601,MLL,2.2681024483178556
42,0.0,,0.0
43,0.27350708020914305,TCF3-PBX1,2.0885370361522764
44,0.34344644320975076,Hypo,2.169835641239143
45,0.2909065313817678,T-ALL,-1.9523521775269281
46,0.7866508116265398,Hypo,-2.221325914251914
47,0.15504442970362542,T-ALL,-2.727608472025689
48,0.8354237706872762,Hyperdiploid,1.8400721333741341
49,0.8483595858643663,Hyperdiploid,1.7668009237767224
50,0.049735024426392695,T-ALL,-2.24102299373129
51,0.6756985859888011,T-ALL,-2.679296712380578
52,0.8298637733735318,Ph,2.72158335596695
