#edge,stdev,outlier_subtype,outlier_distance
hsa:131890|hsa:156|hsa:157|hsa:2868|hsa:2869|hsa:2870|hsa:6011==>hsa:10663|hsa:10803|hsa:1230|hsa:1232|hsa:1233|hsa:1234|hsa:1235|hsa:1236|hsa:1237|hsa:1524|hsa:2826|hsa:2829|hsa:2833|hsa:3577|hsa:3579|hsa:643|hsa:729230|hsa:7852,0.037499502833711146,ETV6_RUNX1,-0.06507024559550453
hsa:408|hsa:409==>hsa:10663|hsa:10803|hsa:1230|hsa:1232|hsa:1233|hsa:1234|hsa:1235|hsa:1236|hsa:1237|hsa:1524|hsa:2826|hsa:2829|hsa:2833|hsa:3577|hsa:3579|hsa:643|hsa:729230|hsa:7852,0.09221507454658728,Hypo,-0.28443514777160983
hsa:5579|hsa:5580==>hsa:653361,0.1194733257275789,Hyperdiploid,-0.30119303112666823
hsa:7074==>hsa:5879|hsa:5880,0.13685243457692908,Hypo,-0.40542218039432404
hsa:23236|hsa:5330|hsa:5331|hsa:5332==>hsa:5579|hsa:5580,0.3073770018211034,Hypo,-1.6029190427622726
hsa:9564==>hsa:1398|hsa:1399,0.3590542067153649,ETV6_RUNX1,-14.907588544503664
hsa:5747==>hsa:9564,0.02327510479864172,Ph,-0.04517149408831091
hsa:5747==>hsa:5829,0.39477673004148167,ETV6_RUNX1,-15.251002381248886
hsa:2185==>hsa:1398|hsa:1399,0.18079261628321722,Ph,-0.5512246025174591
hsa:2185==>hsa:5829,0.2631305205160762,Ph,-0.9929504565266999
hsa:9844|hsa:1794==>hsa:5879|hsa:5880,0.4465709384637083,ETV6_RUNX1,-15.050491647504149
hsa:10681|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:648044|hsa:94235==>hsa:23236|hsa:5330|hsa:5331|hsa:5332,0.013631699164904173,Hypo,-0.02447931221643995
hsa:10681|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:648044|hsa:94235==>hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503,0.34050060105104435,TCF3-PBX1,-16.08021370525585
hsa:10681|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:648044|hsa:94235==>hsa:57580,0.4318350704826734,MLL,-15.266106927879896
hsa:57580==>hsa:5879|hsa:5880,0.46837086227135893,Ph,-15.519108473851889
hsa:387==>hsa:6093|hsa:9475,0.04239173616859489,ETV6_RUNX1,-0.09929990355654457
hsa:998==>hsa:56288|hsa:5590|hsa:7074,0.13771554087987575,MLL,-0.5258904236735744
hsa:998==>hsa:7454|hsa:8976,0.04517960579640295,Hyperdiploid,-0.12612888298209718
hsa:998==>hsa:5058,0.2507307452466059,TCF3-PBX1,-15.344155753760639
hsa:5879|hsa:5880==>hsa:5058,0.22343063367690946,Ph,-0.8837104446110834
hsa:10451|hsa:7409|hsa:7410==>hsa:387,0.010585502132055684,Hyperdiploid,-0.02993644931176782
hsa:10451|hsa:7409|hsa:7410==>hsa:998,0.04802052016437497,Hypo,-0.14441871458520672
hsa:10451|hsa:7409|hsa:7410==>hsa:5879|hsa:5880,0.42058480151875605,ETV6_RUNX1,-15.679232381693582
hsa:3702==>hsa:10451|hsa:7409|hsa:7410,0.004977174696470253,Hyperdiploid,-0.01122507044653658
hsa:4792|hsa:4793==>hsa:4790|hsa:5970,0.021294038880323645,MLL,-0.037319101252006846
hsa:1147|hsa:3551|hsa:8517==>hsa:4792|hsa:4793,0.00878330484266507,Ph,-0.019496712731904134
hsa:10000|hsa:207|hsa:208==>hsa:2309,0.14971791065949624,TCF3-PBX1,-0.509796086011967
hsa:10000|hsa:207|hsa:208==>hsa:2931|hsa:2932,0.008721299853969999,Hyperdiploid,-0.02086407244760173
hsa:10000|hsa:207|hsa:208==>hsa:1147|hsa:3551|hsa:8517,0.03739585927749275,Hyperdiploid,-0.0856683992355989
hsa:5590==>hsa:5594|hsa:5595,0.4689497839919776,ETV6_RUNX1,-15.653005424488683
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:5747,0.3460167186466268,MLL,-16.10288868035032
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:57580,0.4513468366584978,ETV6_RUNX1,-15.692392783897926
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:3702,0.010998353537262417,Ph,-0.027147792251187474
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:10000|hsa:207|hsa:208,0.0019305478444192538,Hyperdiploid,-0.005532274296548139
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:5590,0.026304902654704313,TCF3-PBX1,-0.048626383402841616
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:3265|hsa:3845|hsa:4893,0.42660420903647056,Hypo,-15.626970416146879
hsa:5604==>hsa:5594|hsa:5595,0.02707317249264163,TCF3-PBX1,-0.07278300534065076
hsa:5894|hsa:673==>hsa:5604,0.32326172187047464,Hyperdiploid,-2.6600040807432896
hsa:3265|hsa:3845|hsa:4893==>hsa:5894|hsa:673,0.3060242511050524,MLL,-2.0413369440099576
hsa:6654|hsa:6655==>hsa:3265|hsa:3845|hsa:4893,0.34449845967231313,Hyperdiploid,-5.1998914427533816
hsa:2885==>hsa:6654|hsa:6655,0.028177334457007146,Hyperdiploid,-0.08103704431341922
hsa:25759|hsa:399694|hsa:53358|hsa:6464==>hsa:2885,0.019709333941261516,Hyperdiploid,-0.04121106707173483
hsa:2268|hsa:3055|hsa:4067|hsa:6714==>hsa:5747,0.16338496763503688,Ph,-0.6294932438459243
hsa:2268|hsa:3055|hsa:4067|hsa:6714==>hsa:2185,0.32367039538547704,Ph,-3.071785948151156
hsa:2268|hsa:3055|hsa:4067|hsa:6714==>hsa:9844|hsa:1794,0.30270399866293574,MLL,-15.791569164321697
hsa:2268|hsa:3055|hsa:4067|hsa:6714==>hsa:3702,0.34412551987806267,MLL,-16.09966799994885
hsa:2268|hsa:3055|hsa:4067|hsa:6714==>hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503,0.1924028493607162,Ph,-0.799553861943182
hsa:2268|hsa:3055|hsa:4067|hsa:6714==>hsa:25759|hsa:399694|hsa:53358|hsa:6464,0.33753825942230126,MLL,-16.059744985492305
hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883==>hsa:5566|hsa:5567|hsa:5568|hsa:5613,0.09447428970241328,Hypo,-0.31553297985289513
hsa:2770|hsa:2771|hsa:2773==>hsa:10681|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:648044|hsa:94235,0.12737490476477986,TCF3-PBX1,-0.3963124044060624
hsa:2770|hsa:2771|hsa:2773==>hsa:2268|hsa:3055|hsa:4067|hsa:6714,0.08192112181998547,Hyperdiploid,-0.26740792835181626
hsa:2770|hsa:2771|hsa:2773==>hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883,0.02787373846985213,Hyperdiploid,-0.05552127866522292
hsa:3717|hsa:3718==>hsa:6772|hsa:6773|hsa:6774|hsa:6777,0.08294903102163745,Ph,0.15627764555908183
hsa:10663|hsa:10803|hsa:1230|hsa:1232|hsa:1233|hsa:1234|hsa:1235|hsa:1236|hsa:1237|hsa:1524|hsa:2826|hsa:2829|hsa:2833|hsa:3577|hsa:3579|hsa:643|hsa:729230|hsa:7852==>hsa:2770|hsa:2771|hsa:2773,0.06534985892369574,T-ALL,-0.14616210278142053
hsa:10663|hsa:10803|hsa:1230|hsa:1232|hsa:1233|hsa:1234|hsa:1235|hsa:1236|hsa:1237|hsa:1524|hsa:2826|hsa:2829|hsa:2833|hsa:3577|hsa:3579|hsa:643|hsa:729230|hsa:7852==>hsa:3717|hsa:3718,0.09001832201914706,Hypo,-0.20851597914227762
hsa:10344|hsa:10563|hsa:10850|hsa:2919|hsa:2920|hsa:2921|hsa:3576|hsa:3627|hsa:388372|hsa:414062|hsa:4283|hsa:5196|hsa:5197|hsa:5473|hsa:56477|hsa:58191|hsa:6346|hsa:6347|hsa:6348|hsa:6349|hsa:6351|hsa:6352|hsa:6354|hsa:6355|hsa:6356|hsa:6357|hsa:6358|hsa:6359|hsa:6360|hsa:6361|hsa:6362|hsa:6363|hsa:6364|hsa:6366|hsa:6367|hsa:6368|hsa:6369|hsa:6370|hsa:6372|hsa:6373|hsa:6374|hsa:6375|hsa:6376|hsa:6387|hsa:6846|hsa:9547|hsa:9560==>hsa:10663|hsa:10803|hsa:1230|hsa:1232|hsa:1233|hsa:1234|hsa:1235|hsa:1236|hsa:1237|hsa:1524|hsa:2826|hsa:2829|hsa:2833|hsa:3577|hsa:3579|hsa:643|hsa:729230|hsa:7852,0.04279374139630557,ETV6_RUNX1,-0.10327381634620932
