#edge,stdev,outlier_subtype,outlier_distance
hsa:685==>hsa:2066,0.05320576087689937,ETV6_RUNX1,-13.115414623973829
hsa:685==>hsa:1956,0.1450662357008279,TCF3-PBX1,-0.5342438678909512
hsa:2475==>hsa:1978,0.1366910619292532,MLL,-0.3425846574478552
hsa:2475==>hsa:6198|hsa:6199,0.09380770241818946,Hypo,-0.3123304782260457
hsa:2549==>hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503,0.0,,0.0
hsa:5594|hsa:5595==>hsa:2002,0.026143949474447207,Hypo,-0.076473016005139
hsa:5594|hsa:5595==>hsa:4609,0.2520290371496337,Hypo,1.0536932309955551
hsa:5604|hsa:5605==>hsa:5594|hsa:5595,0.014982950412426272,MLL,-0.04345385763530492
hsa:369|hsa:5894|hsa:673==>hsa:5604|hsa:5605,0.021151790474702465,Hypo,-0.061819791760258494
hsa:3265|hsa:3845|hsa:4893==>hsa:369|hsa:5894|hsa:673,0.018714318404551598,MLL,-0.051253166407557074
hsa:6654|hsa:6655==>hsa:3265|hsa:3845|hsa:4893,0.03041796548899671,Hypo,-0.06840957583124256
hsa:5599|hsa:5601|hsa:5602==>hsa:2002,0.1023178676823419,Hyperdiploid,-13.824910572404637
hsa:5599|hsa:5601|hsa:5602==>hsa:3725,0.21280163434714575,Ph,-0.5985330013971583
hsa:5609|hsa:6416==>hsa:5599|hsa:5601|hsa:5602,0.10583760405316386,T-ALL,-0.2643152364801355
hsa:10298|hsa:5058|hsa:5062|hsa:5063|hsa:56924|hsa:57144==>hsa:5609|hsa:6416,0.07802966221788184,TCF3-PBX1,-0.18996883379203403
hsa:2885==>hsa:2549,0.0,,0.0
hsa:2885==>hsa:6654|hsa:6655,0.015032543200045169,Ph,-0.03837880046326889
hsa:6714==>hsa:5747,0.1575767116187269,MLL,-0.5613764778552184
hsa:1398|hsa:1399==>hsa:25|hsa:27,0.07032078945947692,MLL,0.1641842190782731
hsa:4690|hsa:8440==>hsa:10298|hsa:5058|hsa:5062|hsa:5063|hsa:56924|hsa:57144,0.03211861519621369,Hypo,0.06633924573390483
hsa:25759|hsa:399694|hsa:53358|hsa:6464==>hsa:2885,0.3425806950362951,Hypo,-16.050143773163654
hsa:9542==>hsa:2066,0.09092190634892369,ETV6_RUNX1,-0.2671590285432713
hsa:9542==>hsa:2065,0.07600868828667698,ETV6_RUNX1,-0.2768373191268784
hsa:2065==>hsa:25759|hsa:399694|hsa:53358|hsa:6464,0.16031140526882454,ETV6_RUNX1,-0.6127253832494207
hsa:2065==>hsa:2885,0.0,,0.0
hsa:2065==>hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503,0.018739833996171955,TCF3-PBX1,-0.0532144647758753
hsa:3084==>hsa:2066,0.00012532130134749154,ETV6_RUNX1,-0.0002718844447519419
hsa:3084==>hsa:2065,0.05388823764278154,Hypo,0.10931702452445091
hsa:2069==>hsa:2066,0.021535076801247315,Hypo,-12.051157771002734
hsa:2069==>hsa:1956,0.1786733778152704,Ph,-0.52296426101547
hsa:2066==>hsa:6776|hsa:6777,0.051602160267230086,ETV6_RUNX1,-0.11738448986894065
hsa:1839==>hsa:2066,0.0,,0.0
hsa:1839==>hsa:1956,0.14354030217229685,Ph,-0.5854241827029633
hsa:374==>hsa:1956,0.09893601129940874,T-ALL,-0.35345646019639715
hsa:7039==>hsa:1956,0.056416699564174125,Hypo,-0.1624006450581222
hsa:1956==>hsa:2885,0.05209620571557187,ETV6_RUNX1,-0.13123730013625914
hsa:1956==>hsa:6714,0.169460246339334,Hyperdiploid,-0.3830483527472195
hsa:1956==>hsa:1398|hsa:1399,0.054838129781369906,Hypo,-0.15810816423274743
hsa:1956==>hsa:6776|hsa:6777,0.06390708227335903,ETV6_RUNX1,-0.13568315199528824
hsa:1956==>hsa:5335|hsa:5336,0.0635952691883827,Hypo,-0.19792607699017908
hsa:1956==>hsa:4690|hsa:8440,0.05450232018614866,Hypo,-0.13300206005737675
hsa:1956==>hsa:25759|hsa:399694|hsa:53358|hsa:6464,0.01805103619017035,Ph,-11.36408837548442
hsa:1950==>hsa:1956,0.0668903020026072,T-ALL,-0.23115886293875498
hsa:10000|hsa:207|hsa:208==>hsa:1026,0.16410129111482033,T-ALL,-0.6514156031636403
hsa:10000|hsa:207|hsa:208==>hsa:1027,0.13219502264550242,Hypo,0.2981592244597801
hsa:10000|hsa:207|hsa:208==>hsa:2932,0.06032556556092034,Hypo,-0.10956534657258143
hsa:10000|hsa:207|hsa:208==>hsa:572,0.15873157966446222,MLL,-0.6006533635136879
hsa:10000|hsa:207|hsa:208==>hsa:2475,0.060135670192914804,MLL,-0.1743976460194607
hsa:23533|hsa:5290|hsa:5291|hsa:5293|hsa:5294|hsa:5295|hsa:5296|hsa:8503==>hsa:10000|hsa:207|hsa:208,0.03605125798478763,TCF3-PBX1,-0.057369417694111816
hsa:5335|hsa:5336==>hsa:5578|hsa:5579|hsa:5582,0.0693149566417299,ETV6_RUNX1,-0.2097446841329999
hsa:5335|hsa:5336==>hsa:815|hsa:816|hsa:817|hsa:818,0.06484525488186375,ETV6_RUNX1,-0.16310501746244876
