#edge,stdev,outlier_subtype,outlier_distance
hsa:841==>hsa:836,0.24753626550722888,Hyperdiploid,-1.9966347112300868
hsa:317==>hsa:842,0.06940093113090583,Hyperdiploid,-2.116230012192582
hsa:842==>hsa:836,0.0866079530542369,T-ALL,-2.6114152956795826
hsa:54205==>hsa:842,0.11232158614933305,T-ALL,-2.824853270663006
hsa:637==>hsa:54205,0.05469388676468852,Hyperdiploid,-2.2345976957015283
hsa:6477==>hsa:54205,0.12452647419463439,Ph,-2.8511982609555417
hsa:63970==>hsa:54205,0.21405590818688744,TCF3-PBX1,1.8478650742091356
hsa:27113==>hsa:63970,0.24254687285991228,MLL,-2.0562272937983916
hsa:27113==>hsa:7157,0.058687488517483836,Hyperdiploid,-2.231506293900867
hsa:8795==>hsa:841,0.16725367363440505,Hyperdiploid,-1.5685634539391877
hsa:3486==>hsa:3479,0.03846440649828495,T-ALL,1.9390394078568596
hsa:10912|hsa:1647|hsa:4616==>hsa:983|hsa:85417|hsa:891|hsa:9133,0.25818752454593985,MLL,2.1097830060714013
hsa:2810==>hsa:983|hsa:85417|hsa:891|hsa:9133,0.26906192955102215,MLL,-2.56659548411653
hsa:1026==>hsa:1017|hsa:898|hsa:9134,0.11330510037171715,Ph,-2.7204394652617814
hsa:1026==>hsa:1019|hsa:1021|hsa:595|hsa:894|hsa:896,0.09208924276472033,TCF3-PBX1,-1.8932594958868212
hsa:4194==>hsa:7157,0.06991981827662837,ETV6_RUNX1,-1.7499568746385905
hsa:4194==>hsa:4193,0.1520021467841148,Hypo,-2.1999634461847837
hsa:1029==>hsa:4193,0.25027777695847375,Ph,-2.186422648666861
hsa:7157==>hsa:7161,0.23253853766230329,Hypo,-2.411625354536852
hsa:7157==>hsa:8493,0.05616784163740033,T-ALL,-1.725219102398439
hsa:7157==>hsa:900|hsa:901,0.07849383794689016,Hypo,2.0908350382575334
hsa:7157==>hsa:25898,0.03448597400896397,TCF3-PBX1,2.444728204904954
hsa:7157==>hsa:55240,0.08564968028294924,MLL,2.136594860157312
hsa:7157==>hsa:7249,0.10732899896227904,Hypo,-1.9326929534943573
hsa:7157==>hsa:5728,0.11678679680476885,T-ALL,-1.979874206612583
hsa:7157==>hsa:143686|hsa:27244|hsa:83667,0.21452666483575192,TCF3-PBX1,1.9674306392470144
hsa:7157==>hsa:50484|hsa:6241,0.08093503635809225,Hypo,1.8127542771983192
hsa:7157==>hsa:1643,0.10964523868851409,T-ALL,-2.4166880067277496
hsa:7157==>hsa:5268,0.18085626451389059,TCF3-PBX1,1.7224765064344252
hsa:7157==>hsa:7057,0.06728228239898174,ETV6_RUNX1,-1.888025526740889
hsa:7157==>hsa:3732,0.17767021676024558,Hypo,-2.6270075452760695
hsa:7157==>hsa:575,0.13446375167353636,T-ALL,-1.804429300190982
hsa:7157==>hsa:5054,0.24201897083375215,Hypo,-2.068617451524368
hsa:7157==>hsa:3486,0.048644503511051825,T-ALL,-1.998064042554185
hsa:7157==>hsa:6477,0.28650893162877356,Ph,-2.5712380499927248
hsa:7157==>hsa:64393,0.06976680789338617,TCF3-PBX1,-2.710099626299862
hsa:7157==>hsa:64065,0.09551894749573969,MLL,-2.4297046755428773
hsa:7157==>hsa:9538|hsa:9540,0.04468242263223553,MLL,-1.9035897113295
hsa:7157==>hsa:5366,0.18544360052488373,MLL,2.0429185239844996
hsa:7157==>hsa:581,0.09776950614791997,TCF3-PBX1,-2.6164139523521786
hsa:7157==>hsa:8795,0.08780173133642337,Hypo,1.434926146470362
hsa:7157==>hsa:55367,0.09669280457854816,Hypo,1.4810391937385639
hsa:7157==>hsa:355,0.0867957028412944,T-ALL,-2.2174350461249532
hsa:7157==>hsa:51512,0.029069454368207636,ETV6_RUNX1,-2.2625869007916304
hsa:7157==>hsa:10912|hsa:1647|hsa:4616,0.3567443742264829,T-ALL,-1.9086234173783945
hsa:7157==>hsa:56475,0.3235886142531228,MLL,-1.650398303514618
hsa:7157==>hsa:2810,0.047604320656247756,ETV6_RUNX1,1.4662394583331344
hsa:7157==>hsa:1026,0.03551767593518379,T-ALL,-2.5023831372167575
hsa:7157==>hsa:4193,0.12091494495702002,Hypo,-1.8069850677074215
hsa:1111==>hsa:7157,0.4948716593053935,ETV6_RUNX1,-1.3471506281091268
hsa:545==>hsa:7157,0.04797724929121114,TCF3-PBX1,1.8213702249357813
hsa:545==>hsa:1111,0.3815858447489973,MLL,1.8130321774778515
hsa:11200==>hsa:7157,0.4948716593053935,ETV6_RUNX1,-1.3471506281091268
hsa:472==>hsa:7157,0.09263233127008419,Ph,-1.972534832004276
hsa:472==>hsa:11200,0.44227560295058127,TCF3-PBX1,1.891329869323134
