#edge,stdev,outlier_subtype,outlier_distance
hsa:80319==>hsa:1855|hsa:1856|hsa:1857,0.11000493804556305,MLL,-2.2250955670609796
hsa:7474|hsa:81029==>hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326,0.13302063664050362,Ph,-2.493581760774209
hsa:144165|hsa:166336==>hsa:57216|hsa:81839,0.05659540674766845,Hypo,2.8543738976954187
hsa:11261|hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535|hsa:63928==>hsa:10725|hsa:4772|hsa:4773|hsa:4775|hsa:4776,0.06760452952220262,Hypo,-2.621878069207194
hsa:23002|hsa:23500==>hsa:1855|hsa:1856|hsa:1857,0.056105305701303655,TCF3-PBX1,-2.1349198945822745
hsa:7481==>hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326,0.09672434520969833,Hypo,-1.5339381863480428
hsa:23291|hsa:8945==>hsa:1499,0.011196967541368008,MLL,-2.8577380332470415
hsa:6907|hsa:79718|hsa:90665==>hsa:1499,0.25795339878160084,Hyperdiploid,2.5648334277624985
hsa:6907|hsa:79718|hsa:90665==>hsa:10297|hsa:324,0.05895348251886432,Hypo,-2.2334247450866798
hsa:10023|hsa:23401==>hsa:1855|hsa:1856|hsa:1857,0.0,,0.0
hsa:122011|hsa:1452==>hsa:1499,0.33658325246421245,Hypo,2.2022619799801646
hsa:122011|hsa:1452==>hsa:8312|hsa:8313,0.024856588231086683,MLL,1.9769540725575638
hsa:10297|hsa:324==>hsa:1855|hsa:1856|hsa:1857,0.02145427962254732,ETV6_RUNX1,-2.730154590622674
hsa:10297|hsa:324==>hsa:1499,0.45030796969320847,Hyperdiploid,1.844629651789752
hsa:8312|hsa:8313==>hsa:1499,0.4463915312719052,Ph,1.8455935554734055
hsa:8312|hsa:8313==>hsa:10297|hsa:324,0.3637141721683382,MLL,2.5221973283701224
hsa:8312|hsa:8313==>hsa:5515|hsa:5516|hsa:5518|hsa:5519|hsa:5525|hsa:5526|hsa:5527|hsa:5528|hsa:5529,0.016439237433280015,MLL,-2.0488886302280442
hsa:8312|hsa:8313==>hsa:2932,0.41812376580622995,Ph,1.5371720728287694
hsa:8312|hsa:8313==>hsa:1855|hsa:1856|hsa:1857,0.33876951429651087,Ph,-2.834459102163737
hsa:8312|hsa:8313==>hsa:1454,0.09320512080418354,Ph,2.2715561638665194
hsa:5566|hsa:5567|hsa:5568|hsa:5613==>hsa:1499,0.08859915436460129,Hypo,-2.6468461805886982
hsa:5566|hsa:5567|hsa:5568|hsa:5613==>hsa:2932,0.157405599602571,Hypo,-2.770101578983968
hsa:5566|hsa:5567|hsa:5568|hsa:5613==>hsa:5663,0.0,,0.0
hsa:8607==>hsa:1499,0.0015839951211565268,MLL,2.857727431021565
hsa:8607==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.1294374862686657,MLL,1.9303655677308484
hsa:1387|hsa:2033==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.060864188287681684,ETV6_RUNX1,-1.387975464335529
hsa:1487|hsa:1488==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.05376654379247147,T-ALL,-1.7843190188486706
hsa:57680==>hsa:1499,0.018011025232295006,TCF3-PBX1,2.298110895937003
hsa:64321==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.06785183188178699,Hypo,-1.895846627851999
hsa:56998==>hsa:1499,0.07493459926373347,Hypo,2.1883905202390546
hsa:2932==>hsa:1499,0.004275059455368881,MLL,-2.8577380332470415
hsa:2932==>hsa:10023|hsa:23401,0.0,,0.0
hsa:59343==>hsa:1855|hsa:1856|hsa:1857,0.0777540742096778,Hypo,-2.838590803676865
hsa:4040|hsa:4041==>hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326,0.09735323569562628,Ph,-2.531973709677197
hsa:22943|hsa:27121|hsa:27123==>hsa:4040|hsa:4041,0.015279854954435004,ETV6_RUNX1,-2.1000962877172333
hsa:9350==>hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780,0.09215477793962742,TCF3-PBX1,-2.7934435134260123
hsa:6422|hsa:6423|hsa:6424|hsa:6425==>hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780,0.0919377478201685,TCF3-PBX1,-2.7989591446523256
hsa:23236|hsa:5330|hsa:5331|hsa:5332==>hsa:5578|hsa:5579|hsa:5582,0.06518056378074306,MLL,2.2351320426858368
hsa:23236|hsa:5330|hsa:5331|hsa:5332==>hsa:11261|hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535|hsa:63928,0.1027570596295665,T-ALL,-2.7765894401339275
hsa:23236|hsa:5330|hsa:5331|hsa:5332==>hsa:815|hsa:816|hsa:817|hsa:818,0.09760205450622818,Hypo,-1.6115815129345414
