Result Quality: 0.947594

hsa:80319 hsa:1855|hsa:1856|hsa:1857 0.996094
hsa:7474|hsa:81029 hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326 0.982788
hsa:144165|hsa:166336 hsa:57216|hsa:81839 UNKNOWN
hsa:11261|hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535|hsa:63928 hsa:10725|hsa:4772|hsa:4773|hsa:4775|hsa:4776 0.974761
hsa:23002|hsa:23500 hsa:1855|hsa:1856|hsa:1857 UNKNOWN
hsa:7481 hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326 UNKNOWN
hsa:85407|hsa:85409 hsa:1855|hsa:1856|hsa:1857 UNKNOWN
hsa:23291|hsa:8945 hsa:1499 UNKNOWN
hsa:6907|hsa:79718|hsa:90665 hsa:1499 UNKNOWN
hsa:6907|hsa:79718|hsa:90665 hsa:10297|hsa:324 UNKNOWN
hsa:10023|hsa:23401 hsa:1855|hsa:1856|hsa:1857 0.951964
hsa:122011|hsa:1452 hsa:1499 UNKNOWN
hsa:122011|hsa:1452 hsa:8312|hsa:8313 UNKNOWN
hsa:10297|hsa:324 hsa:1855|hsa:1856|hsa:1857 UNKNOWN
hsa:10297|hsa:324 hsa:1499 UNKNOWN
hsa:8312|hsa:8313 hsa:1499 UNKNOWN
hsa:8312|hsa:8313 hsa:10297|hsa:324 UNKNOWN
hsa:8312|hsa:8313 hsa:5515|hsa:5516|hsa:5518|hsa:5519|hsa:5525|hsa:5526|hsa:5527|hsa:5528|hsa:5529 UNKNOWN
hsa:8312|hsa:8313 hsa:2932 UNKNOWN
hsa:8312|hsa:8313 hsa:1855|hsa:1856|hsa:1857 UNKNOWN
hsa:8312|hsa:8313 hsa:1454 UNKNOWN
hsa:5566|hsa:5567|hsa:5568|hsa:5613 hsa:1499 0.991607
hsa:5566|hsa:5567|hsa:5568|hsa:5613 hsa:2932 0.993774
hsa:5566|hsa:5567|hsa:5568|hsa:5613 hsa:5663 0.995727
hsa:8607 hsa:1499 UNKNOWN
hsa:8607 hsa:51176|hsa:6932|hsa:6934|hsa:83439 UNKNOWN
hsa:1387|hsa:2033 hsa:51176|hsa:6932|hsa:6934|hsa:83439 UNKNOWN
hsa:1487|hsa:1488 hsa:51176|hsa:6932|hsa:6934|hsa:83439 UNKNOWN
hsa:57680 hsa:1499 UNKNOWN
hsa:64321 hsa:51176|hsa:6932|hsa:6934|hsa:83439 UNKNOWN
hsa:56998 hsa:1499 UNKNOWN
hsa:2932 hsa:1499 0.999939
hsa:2932 hsa:10023|hsa:23401 0.546129
hsa:59343 hsa:1855|hsa:1856|hsa:1857 UNKNOWN
hsa:4040|hsa:4041 hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326 0.908139
hsa:22943|hsa:27121|hsa:27123 hsa:4040|hsa:4041 0.981567
hsa:9350 hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780 UNKNOWN
hsa:6422|hsa:6423|hsa:6424|hsa:6425 hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780 UNKNOWN
hsa:23236|hsa:5330|hsa:5331|hsa:5332 hsa:5578|hsa:5579|hsa:5582 0.982025
hsa:23236|hsa:5330|hsa:5331|hsa:5332 hsa:11261|hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535|hsa:63928 0.965056
hsa:23236|hsa:5330|hsa:5331|hsa:5332 hsa:815|hsa:816|hsa:817|hsa:818 0.972289
